,0
1,20.028756380784248
2,2.1599920742212864
3,48.736248665958456
4,5.644063164220037
5,9.2388893640853
6,17.769090057920387
7,21.87081753833484
8,4.262172837987978
10,3.062806541032747
12,23.974245586877814
13,49.012537368227896
14,3.8154140234121656
15,7.619926073340375
16,2.5352147312546043
17,15.187326622600763
18,42.41339048106875
20,21.92683696616558
21,3.0150708705723566
22,7.309694354116365
24,87.35441837174405
25,71.16876125847048
27,4.533905985631895
28,1.944853066403124
29,7.261334821898364
30,19.93939509425334
31,38.398026837220264
34,2.4242554417524373
35,21.538589281550927
