Delta_Fz,Delta_C3,Delta_Cz,Delta_C4,Delta_Pz,Delta_PO7,Delta_Oz,Delta_PO8,Theta_Fz,Theta_C3,Theta_Cz,Theta_C4,Theta_Pz,Theta_PO7,Theta_Oz,Theta_PO8,Alpha_Fz,Alpha_C3,Alpha_Cz,Alpha_C4,Alpha_Pz,Alpha_PO7,Alpha_Oz,Alpha_PO8,Beta_Fz,Beta_C3,Beta_Cz,Beta_C4,Beta_Pz,Beta_PO7,Beta_Oz,Beta_PO8,Gamma_Fz,Gamma_C3,Gamma_Cz,Gamma_C4,Gamma_Pz,Gamma_PO7,Gamma_Oz,Gamma_PO8,ID,Fase,Condicion,ELO,Aciertos,ELO_Cat,Aciertos_Cat
0.0134252138105822,-0.0555479940519299,-0.0242817168977596,0.045584748331202296,0.02950360849451325,-0.13612925102533655,-0.03724113148417345,-0.11397438393758434,0.14233317228992876,0.1904106292905969,-0.13633306444811955,-0.16099030840815934,-0.4423036976096561,-0.3665160488859831,-0.5035068957059387,-0.1459517866728616,-0.36373544364628707,-0.30431322108389747,-0.0657662219156042,-0.4149180382800367,0.08189769711948669,0.4153365723743959,-0.35585672885419334,-0.4068083001729716,-0.21191576385513017,-0.2885113620916805,-0.1520610861514515,-0.39994042399915175,-0.2712973075347377,-0.6751339921073743,-0.2866468948151102,-0.4459069623993317,-0.47203220478492885,-0.4595652055950072,-0.5682007060418739,-0.570872118645406,-1.0,,-1.0,-1.0,1,FS,Ambiental,1400.0,1,Bueno,Malo
0.0928028336464771,-0.09049776654976105,-0.16250892034139414,-0.1278091383477744,-0.1045520995418676,-0.3164487163382088,-0.0115420258985153,-0.2592085108310447,0.122970318857172,0.13195574073927654,-0.36130096052346705,-0.26516749011736074,-0.24486129349298,-0.4078943129342423,-0.5399709574345918,-0.3912729755774945,-0.326759297257443,-0.39719113264189626,-0.39084046539587913,-0.4609681615397317,-0.37216637053754353,0.3116117400713858,-0.354892498246806,-0.39030108089086757,-0.5042435625803218,-0.264656997171807,-0.3230708534965492,-0.42510813224052624,-0.19948765894394946,-1.0,-0.605295431942235,-0.26189557557682225,-1.0,-0.5191745955713876,-0.5619154225611276,-1.0,-1.0,,-1.0,-1.0,1,FM,Ambiental,1400.0,1,Bueno,Malo
0.0702284176887447,-0.14781048243759887,-0.235896202435456,-0.11010008336282459,-0.1606835148611072,-0.23636392281067237,-0.10899654398812811,-0.3098541204152036,0.1617161171704486,0.10671723830964774,-0.35540060653364386,-0.2461407102706705,-0.2626238292913996,-0.7046142412755692,-0.5337859186785302,-0.5981481140767719,-0.43798268655164635,-0.41188333415682277,-0.35721682475508154,-0.45551455101907884,-0.2877101089217171,-1.0,-0.4186341533636496,-0.7686315256492697,-0.6201686175163497,-0.2409127750910475,-0.3807599003487194,-0.5833451580137589,0.11929758373181955,-1.0,-0.6565321126273068,-1.0,-0.7453436840449297,-0.42047950206374235,-0.5635014750579511,-1.0,-1.0,,-1.0,-1.0,1,DS,Ambiental,1400.0,1,Bueno,Malo
0.01101183638263215,-0.12998040966399585,-0.19227825715330996,-0.0671893335400917,-0.09787551411284405,-0.22264017757795895,-0.0359947709860504,-0.3965251584860934,0.13026878570481126,-0.06644388244663375,-0.36242417469240523,-0.4034440592166808,-0.461973619260598,-0.6817920594508327,-0.4757173162694921,-0.6069552830488325,-0.4234231091020463,-0.4835929696726893,-0.5039977934941999,-0.5967945629743159,-0.3833723060527765,-1.0,-0.5068151126222457,-0.770904985006919,-0.5038561511139901,-0.36096733694380007,-0.59476016240561,-0.5299183068632716,-0.2612501770337879,-1.0,-0.5934188016392008,-0.7503342985922172,-0.7334537085707193,-0.49332203901135463,-1.0,-1.0,-1.0,,-1.0,-1.0,1,DM,Ambiental,1400.0,1,Bueno,Malo
-0.02572758965172305,-0.018671474939122253,0.10749454801187255,-0.34233195043520176,0.1259847604530705,0.0068069973757846,0.5925133362783562,0.39610337018610225,1.0277174496274841,-0.2067215192539617,-0.30370921820762786,-0.27538822424760157,0.2802848454158732,0.013305186049848452,0.861140207066776,0.7647866700013897,1.0380107447544769,0.18780670837756236,0.014796445980331197,-0.5859677926299623,0.965888690021343,-0.04399652358089361,-1.0,-1.0,-0.03338088074283145,0.34145842286244205,-0.33502281181554616,-0.8117040818456271,0.2923011623490376,0.5310176728299909,,-1.0,-1.0,-0.5499312975101462,-1.0,-1.0,-0.36448043253444473,,,-1.0,2,DM,Ambiental,1200.0,3,Bueno,Bueno
-0.074225429179007,0.08521566811232564,0.0416357136038918,-0.34897756985961154,0.1113780280484935,0.1312651009019989,0.2094724051954257,0.26580975358379616,0.6366317288873091,-0.04559927811195595,-0.15229375261530714,-0.3960040595341122,0.1515408676208283,-0.09270254253025605,-1.0,-0.19418447172202616,-1.0,-0.056041457034817596,-0.01484482843643925,-0.5867522997298908,0.0896747205219936,-1.0,-1.0,-1.0,-1.0,-0.000983032969954,-0.5435821371940198,-1.0,0.027332052879054398,-1.0,,-1.0,-1.0,-0.5433345029997474,-1.0,-1.0,-0.7222526236145055,,,-1.0,2,DS,Ambiental,1200.0,3,Bueno,Bueno
0.056425030692072,0.09216725088141506,0.1073793671992126,-0.3266074581062794,-0.08914663191323255,0.23849740627456414,0.5797042044352618,0.2354475266158416,1.2549969914607502,0.09182832430609911,-0.021939003794159202,-0.4116560491488228,0.1052350124878952,0.5253234146641962,-0.09888014071851606,-0.18159534311388326,0.5995338657947707,-0.11939715058321525,0.6449560898475796,-0.6045436478682267,0.4707497927574726,-0.19292304235111585,-1.0,-1.0,-1.0,0.4246868203985482,-0.6373501938337185,-1.0,0.5672809097785995,-1.0,,-1.0,-1.0,-0.4775578177450965,-1.0,-1.0,-0.6841663065280987,,,-1.0,2,FM,Ambiental,1200.0,3,Bueno,Bueno
0.047634220506766196,0.0204246411803181,0.08893415233698455,-0.42274719291994123,-0.05546305775338225,-0.027549619453674748,0.5484520803652218,0.3718162581082518,0.9571463230785197,0.004624784338923349,-0.2905350652097396,-0.3741186498290794,0.37455637054857205,0.12073258801374785,0.08017896977035135,0.14049053307952825,0.5386895255603954,-0.18737108492399965,0.35110412416814873,-1.0,0.34619083864217143,-0.2569938708384719,-1.0,-1.0,-1.0,-0.024971622946483654,-0.4308722997593071,-1.0,0.0097011241108802,-1.0,,-1.0,-1.0,-0.8011059817133349,-1.0,-1.0,-0.7180239167223402,,,-1.0,2,FS,Ambiental,1200.0,3,Bueno,Bueno
-0.7959110621350263,-1.0,-0.7689846060784213,-0.938471927117558,-1.0,-1.0,-1.0,-0.9838769517308523,-0.8442133080990442,-1.0,-0.7947275803522904,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8483259596992544,,-0.7938328105335379,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-0.6898522384187806,-1.0,,,,,-1.0,,-0.5869062893725159,,,,,,3,FM,Ambiental,800.0,0,Malo,Malo
-0.8401279717055461,-1.0,-0.8424261049145947,-0.9541014874034066,-1.0,-1.0,-1.0,-1.0,-0.9448164807001289,-1.0,-0.8493883435361549,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-0.8407448410395538,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-0.658247998644843,-1.0,,,,,-1.0,,-0.7456052639603921,,,,,,3,FS,Ambiental,800.0,0,Malo,Malo
